Epoch,Phase,Iteration,Accuracy,Loss
232,Training,2320,nan,nan
232,Val,2320,nan,nan
233,Training,2328,nan,nan
233,Val,2328,nan,nan
234,Training,2336,nan,nan
234,Val,2336,nan,nan
235,Training,2344,nan,nan
235,Val,2344,nan,nan
236,Training,2352,nan,nan
236,Val,2352,nan,nan
236,Training,2360,nan,nan
236,Val,2360,nan,nan
237,Training,2368,nan,nan
237,Val,2368,nan,nan
238,Training,2376,nan,nan
238,Val,2376,nan,nan
239,Training,2384,nan,nan
239,Val,2384,nan,nan
240,Training,2392,nan,nan
240,Val,2392,nan,nan
240,Training,2400,nan,nan
240,Val,2400,nan,nan
241,Training,2408,nan,nan
241,Val,2408,nan,nan
242,Training,2416,nan,nan
242,Val,2416,nan,nan
243,Training,2424,nan,nan
243,Val,2424,nan,nan
244,Training,2432,nan,nan
244,Val,2432,nan,nan
244,Training,2440,nan,nan
244,Val,2440,nan,nan
245,Training,2448,nan,nan
245,Val,2448,nan,nan
246,Training,2456,nan,nan
246,Val,2456,nan,nan
247,Training,2464,nan,nan
247,Val,2464,nan,nan
248,Training,2472,nan,nan
248,Val,2472,nan,nan
248,Training,2480,nan,nan
248,Val,2480,nan,nan
249,Training,2488,nan,nan
249,Val,2488,nan,nan
250,Training,2496,nan,nan
250,Val,2496,nan,nan
251,Training,2504,nan,nan
251,Val,2504,nan,nan
252,Training,2512,nan,nan
252,Val,2512,nan,nan
252,Training,2520,nan,nan
252,Val,2520,nan,nan
253,Training,2528,nan,nan
253,Val,2528,nan,nan
254,Training,2536,nan,nan
254,Val,2536,nan,nan
255,Training,2544,nan,nan
255,Val,2544,nan,nan
256,Training,2552,nan,nan
256,Val,2552,nan,nan
256,Training,2560,nan,nan
256,Val,2560,nan,nan
257,Training,2568,nan,nan
257,Val,2568,nan,nan
258,Training,2576,nan,nan
258,Val,2576,nan,nan
259,Training,2584,nan,nan
259,Val,2584,nan,nan
260,Training,2592,nan,nan
260,Val,2592,nan,nan
260,Training,2600,nan,nan
260,Val,2600,nan,nan
261,Training,2608,nan,nan
261,Val,2608,nan,nan
262,Training,2616,nan,nan
262,Val,2616,nan,nan
263,Training,2624,nan,nan
263,Val,2624,nan,nan
264,Training,2632,nan,nan
264,Val,2632,nan,nan
264,Training,2640,nan,nan
264,Val,2640,nan,nan
265,Training,2648,nan,nan
265,Val,2648,nan,nan
266,Training,2656,nan,nan
266,Val,2656,nan,nan
267,Training,2664,nan,nan
267,Val,2664,nan,nan
268,Training,2672,nan,nan
268,Val,2672,nan,nan
268,Training,2680,nan,nan
268,Val,2680,nan,nan
269,Training,2688,nan,nan
269,Val,2688,nan,nan
270,Training,2696,nan,nan
270,Val,2696,nan,nan
271,Training,2704,nan,nan
271,Val,2704,nan,nan
272,Training,2712,nan,nan
272,Val,2712,nan,nan
272,Training,2720,nan,nan
272,Val,2720,nan,nan
273,Training,2728,nan,nan
273,Val,2728,nan,nan
274,Training,2736,nan,nan
274,Val,2736,nan,nan
275,Training,2744,nan,nan
275,Val,2744,nan,nan
276,Training,2752,nan,nan
276,Val,2752,nan,nan
276,Training,2760,nan,nan
276,Val,2760,nan,nan
277,Training,2768,nan,nan
277,Val,2768,nan,nan
278,Training,2776,nan,nan
278,Val,2776,nan,nan
279,Training,2784,nan,nan
279,Val,2784,nan,nan
280,Training,2792,nan,nan
280,Val,2792,nan,nan
280,Training,2800,nan,nan
280,Val,2800,nan,nan
281,Training,2808,nan,nan
281,Val,2808,nan,nan
282,Training,2816,nan,nan
282,Val,2816,nan,nan
283,Training,2824,nan,nan
283,Val,2824,nan,nan
284,Training,2832,nan,nan
284,Val,2832,nan,nan
284,Training,2840,nan,nan
284,Val,2840,nan,nan
285,Training,2848,nan,nan
285,Val,2848,nan,nan
286,Training,2856,nan,nan
286,Val,2856,nan,nan
287,Training,2864,nan,nan
287,Val,2864,nan,nan
288,Training,2872,nan,nan
288,Val,2872,nan,nan
288,Training,2880,nan,nan
288,Val,2880,nan,nan
289,Training,2888,nan,nan
289,Val,2888,nan,nan
290,Training,2896,nan,nan
290,Val,2896,nan,nan
291,Training,2904,nan,nan
291,Val,2904,nan,nan
292,Training,2912,nan,nan
292,Val,2912,nan,nan
292,Training,2920,nan,nan
292,Val,2920,nan,nan
293,Training,2928,nan,nan
293,Val,2928,nan,nan
294,Training,2936,nan,nan
294,Val,2936,nan,nan
295,Training,2944,nan,nan
295,Val,2944,nan,nan
296,Training,2952,nan,nan
296,Val,2952,nan,nan
296,Training,2960,nan,nan
296,Val,2960,nan,nan
297,Training,2968,nan,nan
297,Val,2968,nan,nan
298,Training,2976,nan,nan
298,Val,2976,nan,nan
299,Training,2984,nan,nan
299,Val,2984,nan,nan
300,Training,2992,nan,nan
300,Val,2992,nan,nan
300,Training,3000,nan,nan
300,Val,3000,nan,nan
301,Training,3008,nan,nan
301,Val,3008,nan,nan
302,Training,3016,nan,nan
302,Val,3016,nan,nan
303,Training,3024,nan,nan
303,Val,3024,nan,nan
304,Training,3032,nan,nan
304,Val,3032,nan,nan
304,Training,3040,nan,nan
304,Val,3040,nan,nan
305,Training,3048,nan,nan
305,Val,3048,nan,nan
306,Training,3056,nan,nan
306,Val,3056,nan,nan
307,Training,3064,nan,nan
307,Val,3064,nan,nan
308,Training,3072,nan,nan
308,Val,3072,nan,nan
308,Training,3080,nan,nan
308,Val,3080,nan,nan
309,Training,3088,nan,nan
309,Val,3088,nan,nan
310,Training,3096,nan,nan
310,Val,3096,nan,nan
311,Training,3104,nan,nan
311,Val,3104,nan,nan
312,Training,3112,nan,nan
312,Val,3112,nan,nan
312,Training,3120,nan,nan
312,Val,3120,nan,nan
313,Training,3128,nan,nan
313,Val,3128,nan,nan
314,Training,3136,nan,nan
314,Val,3136,nan,nan
315,Training,3144,nan,nan
315,Val,3144,nan,nan
316,Training,3152,nan,nan
316,Val,3152,nan,nan
316,Training,3160,nan,nan
316,Val,3160,nan,nan
317,Training,3168,nan,nan
317,Val,3168,nan,nan
318,Training,3176,nan,nan
318,Val,3176,nan,nan
319,Training,3184,nan,nan
319,Val,3184,nan,nan
320,Training,3192,nan,nan
320,Val,3192,nan,nan
320,Training,3200,nan,nan
320,Val,3200,nan,nan
321,Training,3208,nan,nan
321,Val,3208,nan,nan
322,Training,3216,nan,nan
322,Val,3216,nan,nan
323,Training,3224,nan,nan
323,Val,3224,nan,nan
324,Training,3232,nan,nan
324,Val,3232,nan,nan
324,Training,3240,nan,nan
324,Val,3240,nan,nan
325,Training,3248,nan,nan
325,Val,3248,nan,nan
326,Training,3256,nan,nan
326,Val,3256,nan,nan
327,Training,3264,nan,nan
327,Val,3264,nan,nan
328,Training,3272,nan,nan
328,Val,3272,nan,nan
328,Training,3280,nan,nan
328,Val,3280,nan,nan
329,Training,3288,nan,nan
329,Val,3288,nan,nan
330,Training,3296,nan,nan
330,Val,3296,nan,nan
331,Training,3304,nan,nan
